  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      9.00886141      7.96509199    299.33173135    300.00000000      1.00000000      0.04976624     -7.59870380      0.06344269     -7.53526111      0.05725739      0.02252868      0.05591344      0.00954290 md_running
     2      1.00000000     20.13039405      7.95375752    297.70423203    300.00000000      1.00000207      0.04949565     -7.59825272      0.06326226     -7.53499046      0.05893453      0.02249662      0.05721179      0.00982242 md_running
     3      1.50000000     38.97988031      7.94215986    295.32289942    300.00000000      1.00000549      0.04909974     -7.59767042      0.06307790     -7.53459251      0.06082774      0.02246382      0.05875805      0.01013796 md_running
     4      2.00000000     39.21988296      7.93032571    292.33581604    300.00000000      1.00001017      0.04860311     -7.59698196      0.06289007     -7.53409189      0.06288309      0.02243035      0.06050965      0.01048052 md_running
     5      2.50000000     39.48075517      7.91828173    289.02039902    300.00000000      1.00001581      0.04805190     -7.59623482      0.06269919     -7.53353564      0.06491926      0.02239628      0.06228859      0.01081988 md_running
     6      3.00000000     48.35229638      7.90605352    285.71192595    300.00000000      1.00002187      0.04750184     -7.59548597      0.06250568     -7.53298028      0.06670715      0.02236170      0.06386345      0.01111786 md_running
     7      3.50000000     55.07802351      7.89366453    282.71174834    300.00000000      1.00002775      0.04700303     -7.59478690      0.06230994     -7.53247696      0.06806368      0.02232665      0.06504739      0.01134395 md_running
     8      4.00000000     59.98150625      7.88113524    280.20306945    300.00000000      1.00003296      0.04658595     -7.59416886      0.06211229     -7.53205657      0.06893204      0.02229122      0.06578369      0.01148867 md_running
     9      4.50000000     60.22919788      7.86848229    278.20489472    300.00000000      1.00003724      0.04625374     -7.59363545      0.06191301     -7.53172244      0.06941409      0.02225543      0.06618133      0.01156901 md_running
    10      5.00000000     60.46355767      7.85571797    276.57760003    300.00000000      1.00004067      0.04598318     -7.59316313      0.06171230     -7.53145083      0.06975053      0.02221933      0.06649418      0.01162509 md_running
    11      5.50000000     60.69459817      7.84284986    275.07803821    300.00000000      1.00004364      0.04573387     -7.59271063      0.06151029     -7.53120034      0.07023688      0.02218293      0.06703207      0.01170615 md_running
    12      6.00000000     60.92187259      7.82988064    273.44662340    300.00000000      1.00004665      0.04546264     -7.59223394      0.06130703     -7.53092690      0.07111802      0.02214625      0.06804730      0.01185300 md_running
    13      6.50000000     61.15293277      7.81680826    271.49516809    300.00000000      1.00005020      0.04513819     -7.59170105      0.06110249     -7.53059855      0.07248825      0.02210927      0.06962900      0.01208137 md_running
    14      7.00000000     61.38789169      7.80362619    269.16762282    300.00000000      1.00005456      0.04475122     -7.59110227      0.06089658     -7.53020569      0.07424054      0.02207199      0.07165209      0.01237342 md_running
    15      7.50000000     61.62099365      7.79032381    266.55627533    300.00000000      1.00005973      0.04431706     -7.59045317      0.06068915     -7.52976403      0.07609521      0.02203436      0.07381313      0.01268254 md_running
    16      8.00000000     61.85137781      7.77688703    263.87200615    300.00000000      1.00006542      0.04387078     -7.58978910      0.06047997     -7.52930913      0.07768319      0.02199636      0.07572279      0.01294720 md_running
    17      8.50000000     62.08096162      7.76329889    261.37904870    300.00000000      1.00007110      0.04345631     -7.58915472      0.06026881     -7.52888591      0.07864112      0.02195793      0.07700510      0.01310685 md_running
    18      9.00000000     62.31483497      7.74954024    259.31385137    300.00000000      1.00007619      0.04311295     -7.58859000      0.06005537     -7.52853463      0.07868001      0.02191901      0.07736672      0.01311334 md_running
    19      9.50000000     62.54337644      7.73559045    257.81316260    300.00000000      1.00008019      0.04286345     -7.58811757      0.05983936     -7.52827821      0.07764105      0.02187955      0.07665093      0.01294017 md_running
    20     10.00000000     62.75793433      7.72142804    256.87081795    300.00000000      1.00008291      0.04270678     -7.58773661      0.05962045     -7.52811616      0.07553059      0.02183950      0.07487039      0.01258843 md_running
    21     10.50000000     62.96545118      7.70703137    256.33333609    300.00000000      1.00008450      0.04261742     -7.58742078      0.05939833     -7.52802245      0.07253965      0.02179878      0.07222416      0.01208994 md_running
    22     11.00000000     63.19723481      7.69237923    255.93632104    300.00000000      1.00008544      0.04255141     -7.58712523      0.05917270     -7.52795253      0.06905312      0.02175733      0.06910361      0.01150885 md_running
    23     11.50000000     63.42523398      7.67745138    255.37452802    300.00000000      1.00008640      0.04245801     -7.58679776      0.05894326     -7.52785450      0.06562352      0.02171511      0.06606052      0.01093725 md_running
    24     12.00000000     63.65061069      7.66222906    254.38738699    300.00000000      1.00008809      0.04229389     -7.58639433      0.05870975     -7.52768458      0.06289445      0.02167206      0.06372359      0.01048241 md_running
    25     12.50000000     63.87966454      7.64669546    252.83507611    300.00000000      1.00009101      0.04203580     -7.58589047      0.05847195     -7.52741852      0.06143672      0.02162812      0.06263205      0.01023945 md_running
    26     13.00000000     64.10677922      7.63083615    250.74417153    300.00000000      1.00009533      0.04168818     -7.58529059      0.05822966     -7.52706093      0.06152922      0.02158326      0.06302760      0.01025487 md_running
    27     13.50000000     64.33922220      7.61463936    248.30627253    300.00000000      1.00010085      0.04128286     -7.58462672      0.05798273     -7.52664399      0.06302643      0.02153745      0.06474184      0.01050440 md_running
