  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      9.00321436      9.60842925    314.00203327    300.00000000      1.00000000      0.03430633     -5.25543156      0.92321913     -4.33221243      0.07564660      0.27176742      0.28146346      0.01544130 md_running
     2      1.00000000     20.09122293      9.58509658    351.13158696    300.00000000      0.99995277      0.03836293     -5.25501410      0.91874076     -4.33627333      0.07826728      0.27110747      0.28091911      0.01597624 md_running
     3      1.50000000     39.02749747      9.55483706    399.86698877    300.00000000      0.99990076      0.04368752     -5.25455738      0.91294911     -4.34160827      0.07870798      0.27025160      0.27908940      0.01606620 md_running
     4      2.00000000     39.27087499      9.51771079    459.94882168    300.00000000      0.99984982      0.05025177     -5.25405860      0.90586819     -4.34819041      0.07725343      0.26920151      0.27603272      0.01576929 md_running
     5      2.50000000     44.26705911      9.47379961    530.96690160    300.00000000      0.99980335      0.05801086     -5.25350499      0.89752879     -4.35597620      0.07451179      0.26795952      0.27194303      0.01520965 md_running
     6      3.00000000     48.19353444      9.42320603    612.35143886    300.00000000      0.99976275      0.06690254     -5.25287261      0.88796812     -4.36490449      0.07145372      0.26652852      0.26712326      0.01458543 md_running
     7      3.50000000     48.41719355      9.36605183    703.37490415    300.00000000      0.99972820      0.07684732     -5.25212626      0.87722927     -4.37489699      0.06935916      0.26491195      0.26194678      0.01415788 md_running
     8      4.00000000     48.64623941      9.30247621    803.17910378    300.00000000      0.99969920      0.08775144     -5.25122103      0.86536064     -4.38586039      0.06957443      0.26311376      0.25681730      0.01420182 md_running
     9      4.50000000     53.67750127      9.23263359    910.83063944    300.00000000      0.99967502      0.09951292     -5.25010836      0.85241523     -4.39769313      0.07302838      0.26113831      0.25211344      0.01490685 md_running
    10      5.00000000     53.90282297      9.15669103   1025.39334986    300.00000000      0.99965488      0.11202948     -5.24874287      0.83844991     -4.41029297      0.07982737      0.25899033      0.24813629      0.01629469 md_running
    11      5.50000000     54.11452787      9.07482566   1146.00958635    300.00000000      0.99963806      0.12520743     -5.24709113      0.82352461     -4.42356653      0.08930002      0.25667483      0.24506788      0.01822829 md_running
    12      6.00000000     54.32727720      8.98722194   1271.96844129    300.00000000      0.99962396      0.13896908     -5.24513791      0.80770158     -4.43743633      0.10045212      0.25419702      0.24294423      0.02050470 md_running
    13      6.50000000     54.53635824      8.89406914   1402.74538752    300.00000000      0.99961204      0.15325713     -5.24289047      0.79104466     -4.45184581      0.11231021      0.25156226      0.24166105      0.02292522 md_running
    14      7.00000000     54.75973464      8.79555908   1538.00634030    300.00000000      0.99960189      0.16803508     -5.24037742      0.77361860     -4.46675883      0.12405070      0.24877598      0.24098981      0.02532174 md_running
    15      7.50000000     61.30718387      8.69188405   1677.57854684    300.00000000      0.99959317      0.18328406     -5.23764611      0.75548848     -4.48215763      0.13502569      0.24584361      0.24064362      0.02756200 md_running
    16      8.00000000     61.53516531      8.58323460   1821.39432774    300.00000000      0.99958561      0.19899667     -5.23475472      0.73671916     -4.49803556      0.14476711      0.24277054      0.24031778      0.02955046 md_running
    17      8.50000000     61.75003448      8.46979737   1969.41019414    300.00000000      0.99957901      0.21516817     -5.23176367      0.71737468     -4.51438900      0.15296110      0.23956205      0.23971916      0.03122305 md_running
    18      9.00000000     61.96844297      8.35175358   2121.53242146    300.00000000      0.99957320      0.23178830     -5.22872617      0.69751788     -4.53120829      0.15942410      0.23622326      0.23861674      0.03254231 md_running
    19      9.50000000     62.18728106      8.22927754   2277.56345932    300.00000000      0.99956807      0.24883549     -5.22568367      0.67721009     -4.54847358      0.16410658      0.23275912      0.23687275      0.03349812 md_running
    20     10.00000000     62.40575175      8.10253550   2437.10411637    300.00000000      0.99956350      0.26626613     -5.22265162      0.65651082     -4.56614080      0.16705469      0.22917431      0.23432789      0.03409990 md_running
