  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000     10.55245159     31.33756270      0.08581589    300.00000000      1.13973681      0.00001427     -7.60469622     -0.00012084     -7.60481707      0.06038615      0.00000427      0.06038617      0.01006436 md_running
     2      1.00000000     21.98926832     31.33758624      0.82235759    300.00000000      1.13973681      0.00013672     -7.60478807     -0.00024614     -7.60503420      0.05850082      0.00000871      0.05850087      0.00975014 md_running
     3      1.50000000     40.55178266     31.33763493      2.31562816    300.00000000      1.10672379      0.00038499     -7.60496755     -0.00037582     -7.60534337      0.05461184      0.00001329      0.05461192      0.00910197 md_running
     4      2.00000000     40.76385923     31.33770701      4.10069247    300.00000000      1.04766354      0.00068177     -7.60520582     -0.00050982     -7.60571564      0.04890960      0.00001803      0.04890973      0.00815160 md_running
     5      2.50000000     40.99785638     31.33779546      5.91717867    300.00000000      1.02965757      0.00098378     -7.60545387     -0.00064800     -7.60610187      0.04206608      0.00002292      0.04206628      0.00701101 md_running
     6      3.00000000     46.17148082     31.33789358      7.54291006    300.00000000      1.02176149      0.00125407     -7.60567248     -0.00079022     -7.60646270      0.03484159      0.00002796      0.03484189      0.00580693 md_running
     7      3.50000000     46.38381330     31.33799444      8.83205548    300.00000000      1.01774958      0.00146840     -7.60583634     -0.00093627     -7.60677262      0.02826281      0.00003312      0.02826326      0.00471047 md_running
     8      4.00000000     46.60005966     31.33809111      9.73504022    300.00000000      1.01559579      0.00161853     -7.60593643     -0.00108595     -7.60702238      0.02376336      0.00003842      0.02376397      0.00396056 md_running
     9      4.50000000     46.80456967     31.33817696     10.29267725    300.00000000      1.01444436      0.00171124     -7.60597945     -0.00123901     -7.60721846      0.02274402      0.00004383      0.02274473      0.00379067 md_running
    10      5.00000000     47.00691565     31.33824607     10.60641362    300.00000000      1.01385120      0.00176340     -7.60598227     -0.00139517     -7.60737744      0.02518645      0.00004936      0.02518713      0.00419774 md_running
    11      5.50000000     47.26571618     31.33829356     10.79504613    300.00000000      1.01354130      0.00179476     -7.60596482     -0.00155413     -7.60751895      0.02960618      0.00005498      0.02960677      0.00493436 md_running
    12      6.00000000     47.47133696     31.33831583     10.95205086    300.00000000      1.01333407      0.00182086     -7.60594290     -0.00171555     -7.60765845      0.03461646      0.00006069      0.03461695      0.00576941 md_running
    13      6.50000000     47.67249529     31.33831081     11.11733953    300.00000000      1.01313324      0.00184834     -7.60592275     -0.00187910     -7.60780185      0.03946042      0.00006647      0.03946080      0.00657674 md_running
    14      7.00000000     47.89011769     31.33827798     11.27201524    300.00000000      1.01292719      0.00187406     -7.60590155     -0.00204438     -7.60794594      0.04380019      0.00007231      0.04380046      0.00730003 md_running
    15      7.50000000     51.79552982     31.33821833     11.35659883    300.00000000      1.01276845      0.00188812     -7.60586890     -0.00221102     -7.60807992      0.04750256      0.00007820      0.04750273      0.00791709 md_running
    16      8.00000000     52.01120764     31.33813421     11.30472102    300.00000000      1.01273516      0.00187950     -7.60581345     -0.00237860     -7.60819204      0.05051715      0.00008412      0.05051720      0.00841953 md_running
    17      8.50000000     52.22342680     31.33802901     11.07907926    300.00000000      1.01289460      0.00184198     -7.60572899     -0.00254668     -7.60827567      0.05280752      0.00009005      0.05280745      0.00880125 md_running
    18      9.00000000     52.42880322     31.33790688     10.69645553    300.00000000      1.01327823      0.00177837     -7.60561804     -0.00271484     -7.60833288      0.05433524      0.00009599      0.05433506      0.00905587 md_running
    19      9.50000000     52.64118939     31.33777230     10.23309577    300.00000000      1.01386040      0.00170133     -7.60549338     -0.00288262     -7.60837601      0.05505423      0.00010191      0.05505393      0.00917570 md_running
    20     10.00000000     52.84310909     31.33762974      9.80852906    300.00000000      1.01453455      0.00163074     -7.60537481     -0.00304958     -7.60842438      0.05493656      0.00010780      0.05493615      0.00915609 md_running
    21     10.50000000     53.10749080     31.33748335      9.55291530    300.00000000      1.01510307      0.00158825     -7.60528427     -0.00321524     -7.60849951      0.05400624      0.00011364      0.05400573      0.00900104 md_running
    22     11.00000000     53.30559075     31.33733667      9.56777108    300.00000000      1.01532603      0.00159072     -7.60523859     -0.00337915     -7.60861774      0.05238315      0.00011943      0.05238256      0.00873053 md_running
    23     11.50000000     53.50864325     31.33719243      9.89195267    300.00000000      1.01504963      0.00164461     -7.60524442     -0.00354086     -7.60878528      0.05032510      0.00012514      0.05032444      0.00838752 md_running
    24     12.00000000     53.74187496     31.33705244     10.48388839    300.00000000      1.01432289      0.00174303     -7.60529509     -0.00369992     -7.60899501      0.04825938      0.00013075      0.04825870      0.00804323 md_running
    25     12.50000000     60.41767697     31.33691741     11.22733334    300.00000000      1.01336960      0.00186663     -7.60537135     -0.00385588     -7.60922722      0.04676596      0.00013626      0.04676531      0.00779433 md_running
    26     13.00000000     60.62418136     31.33678696     11.96109726    300.00000000      1.01244557      0.00198863     -7.60544636     -0.00400831     -7.60945467      0.04645522      0.00014164      0.04645467      0.00774254 md_running
    27     13.50000000     60.82712953     31.33665961     12.52567973    300.00000000      1.01172985      0.00208249     -7.60549312     -0.00415682     -7.60964994      0.04772303      0.00014689      0.04772263      0.00795384 md_running
    28     14.00000000     61.03590420     31.33653301     12.81420754    300.00000000      1.01130492      0.00213046     -7.60549372     -0.00430099     -7.60979471      0.05050887      0.00015198      0.05050865      0.00841815 md_running
    29     14.50000000     61.24571868     31.33640412     12.81160452    300.00000000      1.01117794      0.00213003     -7.60544543     -0.00444046     -7.60988590      0.05429525      0.00015691      0.05429521      0.00904921 md_running
